,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:DLF,2023-01-02 10:15:00+05:30,cc326f51fd6f42bbaed8a26cd51972e2,BUY,10,378.05,INTRADAY,MARKET,2023-01-02 13:15:00+05:30,649d9e3ebc62465f806537d2767661e0,SELL,10,380.1,INTRADAY,MARKET,20.5,20.5,0.54,0.04,50020.5,0.0
1,NSE_EQ:DLF,2023-01-02 13:15:00+05:30,f16f1799635c477583fc9cd28ba715bb,SELL,10,380.1,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,80a9f66233e140c7aff1059a9e4b60b7,BUY,10,380.6,INTRADAY,MARKET,-5.0,15.5,-0.13,0.03,50015.5,-0.01
2,NSE_EQ:DLF,2023-01-03 09:15:00+05:30,94bf3701c7484fed82986a4645fddeb7,BUY,10,380.75,INTRADAY,MARKET,2023-01-03 11:15:00+05:30,5991cc3ec8634e26854e98aae2168a41,SELL,10,381.15,INTRADAY,MARKET,4.0,19.5,0.11,0.04,50019.5,-0.0
3,NSE_EQ:DLF,2023-01-03 11:15:00+05:30,5ad7e68d738246149f5f554fc4e8dfe7,SELL,10,381.15,INTRADAY,MARKET,2023-01-03 14:15:00+05:30,9c1b2f94edc348e0a992d9dcdbbd4a69,BUY,10,380.25,INTRADAY,MARKET,9.0,28.5,0.24,0.06,50028.5,0.0
4,NSE_EQ:DLF,2023-01-03 14:15:00+05:30,d64882998d4a4264861010c7f18d0e39,BUY,10,380.25,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,b6bdae18820d4251b83763f62d6e27d3,SELL,10,380.1,INTRADAY,MARKET,-1.5,27.0,-0.04,0.05,50027.0,-0.0
5,NSE_EQ:DLF,2023-01-04 13:15:00+05:30,8738033656194d67bb2c6def9512ca5d,BUY,10,372.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,f02685fcc0ee43ffa8aae854dc451a9c,SELL,10,371.5,INTRADAY,MARKET,-14.5,12.5,-0.39,0.03,50012.5,-0.03
6,NSE_EQ:DLF,2023-01-05 10:15:00+05:30,0239476701b2487d8cef5570891d8ace,BUY,10,372.1,INTRADAY,MARKET,2023-01-05 12:15:00+05:30,cacb4edd09034486885c67068fd61c8d,SELL,10,371.35,INTRADAY,MARKET,-7.5,5.0,-0.2,0.01,50005.0,-0.05
7,NSE_EQ:DLF,2023-01-05 12:15:00+05:30,822fa4bbb5db460283af250e795a5f1d,SELL,10,371.35,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,f2092c19f970460083890a1577e94b32,BUY,10,373.0,INTRADAY,MARKET,-16.5,-11.5,-0.44,-0.02,49988.5,-0.08
8,NSE_EQ:DLF,2023-01-06 10:15:00+05:30,ec42beb052ad4a2499e049a22f6058c2,SELL,10,372.05,INTRADAY,MARKET,2023-01-06 11:15:00+05:30,3848fd058c824036ac1204f1b6546544,BUY,10,373.2,INTRADAY,MARKET,-11.5,-23.0,-0.31,-0.05,49977.0,-0.1
9,NSE_EQ:DLF,2023-01-06 11:15:00+05:30,bb74ab0bf54448b798c132aa442b8e44,BUY,10,373.2,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,12d647aeed174c5e9fe57b3509406e32,SELL,10,368.55,INTRADAY,MARKET,-46.5,-69.5,-1.25,-0.14,49930.5,-0.2
10,NSE_EQ:DLF,2023-01-06 13:15:00+05:30,1525f480976741b090a71c72ca41e404,SELL,10,368.55,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,5837d75b65c04ed5b1e5a34c3c754f1a,BUY,10,370.35,INTRADAY,MARKET,-18.0,-87.5,-0.49,-0.18,49912.5,-0.23
11,NSE_EQ:DLF,2023-01-09 09:15:00+05:30,f98ce375d1a74ed193a5210e48195efa,SELL,10,373.0,INTRADAY,MARKET,2023-01-09 10:15:00+05:30,fea80ba38a2844f0a8945a720205bfba,BUY,10,374.6,INTRADAY,MARKET,-16.0,-103.5,-0.43,-0.21,49896.5,-0.26
12,NSE_EQ:DLF,2023-01-09 10:15:00+05:30,d7fd30e299a14b788363d6fe2a6d133c,BUY,10,374.6,INTRADAY,MARKET,2023-01-09 12:15:00+05:30,acc64568fb404d078060d29ab89b3326,SELL,10,374.4,INTRADAY,MARKET,-2.0,-105.5,-0.05,-0.21,49894.5,-0.27
13,NSE_EQ:DLF,2023-01-09 12:15:00+05:30,3a6579ab7d494a7ebc30b2a9022d3caf,SELL,10,374.4,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,82678dc09cf34808b00db8f9ff1f5464,BUY,10,374.0,INTRADAY,MARKET,4.0,-101.5,0.11,-0.2,49898.5,-0.26
14,NSE_EQ:DLF,2023-01-10 09:15:00+05:30,28cc50926dd743c8a8806138f1f0e4a3,BUY,10,373.9,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,444f1c36584746018985713186d5b19c,SELL,10,374.05,INTRADAY,MARKET,1.5,-100.0,0.04,-0.2,49900.0,-0.26
15,NSE_EQ:DLF,2023-01-10 10:15:00+05:30,d83df9a57d684880bf4cfc61ba6c664c,SELL,10,374.05,INTRADAY,MARKET,2023-01-10 14:15:00+05:30,2d57856de27b419298c4940761ccc60d,BUY,10,372.35,INTRADAY,MARKET,17.0,-83.0,0.45,-0.17,49917.0,-0.22
16,NSE_EQ:DLF,2023-01-10 14:15:00+05:30,cfcad4563d834d9cb00de39d7b6e4a50,BUY,10,372.35,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,20a5dd48f2f146d3ab61f9154f8f9bce,SELL,10,373.45,INTRADAY,MARKET,11.0,-72.0,0.3,-0.14,49928.0,-0.2
