,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY01JUN2344300CE [LOCAL],2023-06-01 09:30:00+05:30,557c028ce1ff40058d6287f340b69b04,BUY,15,82.35,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,c4b6b28b54014a28bfcb3f9c3a5f1692,SELL,15,7.9,INTRADAY,MARKET,-1116.75,-1116.75,-90.41,-2.23,48883.25,-2.23
1,NSE_FO:BANKNIFTY01JUN2344400CE [LOCAL],2023-06-01 09:30:00+05:30,ce6624ad47ee41d78132897a285c5730,SELL,15,49.0,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,43d43dbf78934ab7bd1765f803a3287d,BUY,15,4.85,INTRADAY,MARKET,662.25,-454.5,90.1,-0.91,49545.5,-0.91
2,NSE_FO:BANKNIFTY01JUN2344400PE [LOCAL],2023-06-01 09:30:00+05:30,a416b3a9c31f4e4d8c0a1f7739b66827,BUY,15,294.95,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,cd50a18eeff34fa18920b11a3a8d36d8,SELL,15,395.4,INTRADAY,MARKET,1506.75,1052.25,34.06,2.1,51052.25,0.0
3,NSE_FO:BANKNIFTY01JUN2344400PE [LOCAL],2023-06-01 09:30:00+05:30,98bc4e07073540458be46cda2c516afe,SELL,15,294.95,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,3c790f05badf468eb10cfe040fad937c,BUY,15,395.4,INTRADAY,MARKET,-1506.75,-454.5,-34.06,-0.91,49545.5,-2.95
4,NSE_FO:BANKNIFTY08JUN2344100CE [LOCAL],2023-06-02 09:15:00+05:30,a4d4066e95de43b28a5ac630edf01efc,BUY,15,294.75,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,54cefca5012c45f382e97b485f902742,SELL,15,220.65,INTRADAY,MARKET,-1111.5,-1566.0,-25.14,-3.13,48434.0,-5.13
5,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-02 09:15:00+05:30,40f4ab4e42cf42908831e3e90b9efb90,SELL,15,245.5,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,40d29b4666604c6580bf308e358852ff,BUY,15,179.1,INTRADAY,MARKET,996.0,-570.0,27.05,-1.14,49430.0,-3.18
6,NSE_FO:BANKNIFTY08JUN2344200PE [LOCAL],2023-06-02 09:15:00+05:30,b35877d2ac3a45c3be8ce8ef6229b481,BUY,15,350.7,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,9fbefaa016cc42e09b5cb234507c717e,SELL,15,365.65,INTRADAY,MARKET,224.25,-345.75,4.26,-0.69,49654.25,-2.74
7,NSE_FO:BANKNIFTY08JUN2344200PE [LOCAL],2023-06-02 09:15:00+05:30,507d4b24fdf54b2ba973aec3e534f4e8,SELL,15,350.7,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,e04ddb26243f4e3fbbacf388060ae69e,BUY,15,365.65,INTRADAY,MARKET,-224.25,-570.0,-4.26,-1.14,49430.0,-3.18
8,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-05 09:15:00+05:30,947cef5a9f9a4af7a6928091186cf5dd,BUY,15,243.1,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,3e0b83ae7a794259999df7f507570468,SELL,15,237.45,INTRADAY,MARKET,-84.75,-654.75,-2.32,-1.31,49345.25,-3.34
9,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-05 09:15:00+05:30,dcb5e76724ec4cc39ee47b179663d91e,SELL,15,190.4,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,12e46a04a84240138626d27961bac5bc,BUY,15,183.95,INTRADAY,MARKET,96.75,-558.0,3.39,-1.12,49442.0,-3.15
10,NSE_FO:BANKNIFTY08JUN2344300PE [LOCAL],2023-06-05 09:15:00+05:30,5b47f999f2a64358b769a94c55ba3762,BUY,15,283.8,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,e88b131a6ffa492e9be7f1123ea0e612,SELL,15,232.05,INTRADAY,MARKET,-776.25,-1334.25,-18.23,-2.67,48665.75,-4.67
11,NSE_FO:BANKNIFTY08JUN2344300PE [LOCAL],2023-06-05 09:15:00+05:30,b5387cf1b9994be79ea32ba3d41c876e,SELL,15,283.8,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,d273f1d463204e689baa308c8193df06,BUY,15,232.05,INTRADAY,MARKET,776.25,-558.0,18.23,-1.12,49442.0,-3.15
12,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-06 09:15:00+05:30,7a7613a5b3fe4fff892b2cb377d74b4b,BUY,15,173.6,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,3ba5de65018f454e840b0b5ce846a493,SELL,15,92.5,INTRADAY,MARKET,-1216.5,-1774.5,-46.72,-3.55,48225.5,-5.54
13,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-06 09:15:00+05:30,9ea6f4d1d6cc4aa296c91260bb0994fe,SELL,15,125.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,d439bb6c4c444980a996ff9473e373a4,BUY,15,62.6,INTRADAY,MARKET,942.75,-831.75,50.1,-1.66,49168.25,-3.69
14,NSE_FO:BANKNIFTY08JUN2344400PE [LOCAL],2023-06-06 09:15:00+05:30,05642c5f1b6147dab0085ed003ec6b9b,BUY,15,275.3,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,1dea9f3a863e4a3bbf3e1ead68a43ba4,SELL,15,346.05,INTRADAY,MARKET,1061.25,229.5,25.7,0.46,50229.5,-1.61
15,NSE_FO:BANKNIFTY08JUN2344400PE [LOCAL],2023-06-06 09:15:00+05:30,8adcc4ebc64744e599509c2f1a20a818,SELL,15,275.3,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,10364c1a357f4c87b290d916aaa62ee8,BUY,15,346.05,INTRADAY,MARKET,-1061.25,-831.75,-25.7,-1.66,49168.25,-3.69
16,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-07 09:15:00+05:30,a744f5819f8c439d83988462efa6a2c2,BUY,15,85.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,19aca410959046018552c613f7198c06,SELL,15,61.9,INTRADAY,MARKET,-346.5,-1178.25,-27.18,-2.36,48821.75,-4.37
17,NSE_FO:BANKNIFTY08JUN2344500CE [LOCAL],2023-06-07 09:15:00+05:30,43ecac9781df4f879513be6ef46d2f16,SELL,15,63.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,719e04905cec4d3ca74a5479cac47ba3,BUY,15,36.5,INTRADAY,MARKET,397.5,-780.75,42.06,-1.56,49219.25,-3.59
18,NSE_FO:BANKNIFTY08JUN2344500PE [LOCAL],2023-06-07 09:15:00+05:30,3b40335ce90d4d11a553243a6544051c,BUY,15,283.8,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,13eb8cdd45104a41900626340d692b93,SELL,15,298.35,INTRADAY,MARKET,218.25,-562.5,5.13,-1.12,49437.5,-3.16
19,NSE_FO:BANKNIFTY08JUN2344500PE [LOCAL],2023-06-07 09:15:00+05:30,bf2595693a7e4726bff92e6f39435fde,SELL,15,283.8,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,3ed32604e0c249679b1fa5427ed327dd,BUY,15,298.35,INTRADAY,MARKET,-218.25,-780.75,-5.13,-1.56,49219.25,-3.59
20,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-08 09:15:00+05:30,3ff7a282fe034a9ea592b07f98e5cf34,BUY,15,113.9,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,6df07826df2b4f06a032d18f58ebafe0,SELL,15,23.35,INTRADAY,MARKET,-1358.25,-2139.0,-79.5,-4.28,47861.0,-6.25
21,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-08 09:15:00+05:30,349adaf9f1af40c68d6a7a5980ad3bda,SELL,15,65.95,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,c5df4aaaf4af4916a4c2fb4999d583f8,BUY,15,9.05,INTRADAY,MARKET,853.5,-1285.5,86.28,-2.57,48714.5,-4.58
22,NSE_FO:BANKNIFTY08JUN2344400PE [LOCAL],2023-06-08 09:15:00+05:30,f8364614f0e7414ab4a4fd1d8a1c7d38,BUY,15,160.15,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,2d03005fdc3e43529aa2884bfd596294,SELL,15,201.25,INTRADAY,MARKET,616.5,-669.0,25.66,-1.34,49331.0,-3.37
23,NSE_FO:BANKNIFTY08JUN2344400PE [LOCAL],2023-06-08 09:15:00+05:30,e410860f586e4acda689618d8df128ee,SELL,15,160.15,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,23b7e77262644028814102c8e9ea5e87,BUY,15,201.25,INTRADAY,MARKET,-616.5,-1285.5,-25.66,-2.57,48714.5,-4.58
24,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-09 09:15:00+05:30,05738499c6204f31953792362f6d41b8,BUY,15,291.85,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,ecde3be9d400406fad0aa684b208ef6b,SELL,15,223.2,INTRADAY,MARKET,-1029.75,-2315.25,-23.52,-4.63,47684.75,-6.6
25,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-09 09:15:00+05:30,9588585f8e5f4400a02188b1bdfd1038,SELL,15,241.8,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,e5ceb35755c14500810c9c9a31653399,BUY,15,177.8,INTRADAY,MARKET,960.0,-1355.25,26.47,-2.71,48644.75,-4.72
26,NSE_FO:BANKNIFTY15JUN2344200PE [LOCAL],2023-06-09 09:15:00+05:30,7243a90c555b40c99a58fad1c9674d32,BUY,15,315.25,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,f1953d761aa247ceb73e1bb6daa385c5,SELL,15,334.8,INTRADAY,MARKET,293.25,-1062.0,6.2,-2.12,48938.0,-4.14
27,NSE_FO:BANKNIFTY15JUN2344200PE [LOCAL],2023-06-09 09:15:00+05:30,fb584866199e4d8f8e372438cdabeeda,SELL,15,315.25,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,8ca8030926cc4dcbbb0927dfe11a21c4,BUY,15,334.8,INTRADAY,MARKET,-293.25,-1355.25,-6.2,-2.71,48644.75,-4.72
28,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-12 09:15:00+05:30,c243463022304841b68e5daa6d860b1f,BUY,15,218.0,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,bef48c19eed4459789a6de5573f3cce5,SELL,15,174.5,INTRADAY,MARKET,-652.5,-2007.75,-19.95,-4.02,47992.25,-5.99
29,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-12 09:15:00+05:30,88da4851813d4df4bd1e0818750bb59a,SELL,15,174.45,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,627fc127a78f429fb371d906e14df7e4,BUY,15,132.65,INTRADAY,MARKET,627.0,-1380.75,23.96,-2.76,48619.25,-4.77
30,NSE_FO:BANKNIFTY15JUN2344200PE [LOCAL],2023-06-12 09:15:00+05:30,4cae1c058aa347d89973797c8713a15d,BUY,15,310.05,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,94ee8f0d9a774eecb1f92528347cf79a,SELL,15,297.55,INTRADAY,MARKET,-187.5,-1568.25,-4.03,-3.14,48431.75,-5.13
31,NSE_FO:BANKNIFTY15JUN2344200PE [LOCAL],2023-06-12 09:15:00+05:30,4c651bef135443ff978b4ead0e509a3e,SELL,15,310.05,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,0e0c6cfd629c4fc580e0fc97d9d35e6b,BUY,15,297.55,INTRADAY,MARKET,187.5,-1380.75,4.03,-2.76,48619.25,-4.77
32,NSE_FO:BANKNIFTY15JUN2344000CE [LOCAL],2023-06-13 09:15:00+05:30,77776e64e3bb46dd94e493331093290c,BUY,15,177.65,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,f0cae146f45c4076ad14fab10dda9ca9,SELL,15,188.55,INTRADAY,MARKET,163.5,-1217.25,6.14,-2.43,48782.75,-4.45
33,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-13 09:15:00+05:30,1971886d97004ed7a943f8b32e71971a,SELL,15,135.7,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,fdcd4e2b81264b6faf054d5773cfa270,BUY,15,138.45,INTRADAY,MARKET,-41.25,-1258.5,-2.03,-2.52,48741.5,-4.53
34,NSE_FO:BANKNIFTY15JUN2344100PE [LOCAL],2023-06-13 09:15:00+05:30,5489b9b87c6b43f2bd5b00c5bf8e517f,BUY,15,270.15,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,5ff966ddec964540bdf1a2cc2c59c017,SELL,15,207.95,INTRADAY,MARKET,-933.0,-2191.5,-23.02,-4.38,47808.5,-6.35
35,NSE_FO:BANKNIFTY15JUN2344100PE [LOCAL],2023-06-13 09:15:00+05:30,dc7803effaf54f67910961c61c3fe4b9,SELL,15,270.15,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,8e9bf5ecae7e42b79b3e59922dd9621a,BUY,15,207.95,INTRADAY,MARKET,933.0,-1258.5,23.02,-2.52,48741.5,-4.53
36,NSE_FO:BANKNIFTY15JUN2344300CE [LOCAL],2023-06-14 09:15:00+05:30,f6cca04ee4024e868dc16caf209c0a89,BUY,15,113.15,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,7ced301a4a524f7d9cd6b102ab0ac2dd,SELL,15,49.7,INTRADAY,MARKET,-951.75,-2210.25,-56.08,-4.42,47789.75,-6.39
37,NSE_FO:BANKNIFTY15JUN2344400CE [LOCAL],2023-06-14 09:15:00+05:30,1236acbf8435453e9294e36ca3ac7556,SELL,15,77.0,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,431f5615de76418fa4e9791ee5429eac,BUY,15,30.45,INTRADAY,MARKET,698.25,-1512.0,60.45,-3.02,48488.0,-5.02
38,NSE_FO:BANKNIFTY15JUN2344400PE [LOCAL],2023-06-14 09:15:00+05:30,427107ab19c34a52b94d29b939fbca64,BUY,15,262.0,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,9be9af2e267f49ada4afb0ee20224188,SELL,15,371.65,INTRADAY,MARKET,1644.75,132.75,41.85,0.27,50132.75,-1.8
39,NSE_FO:BANKNIFTY15JUN2344400PE [LOCAL],2023-06-14 09:15:00+05:30,66b5cde4e16541e3bec00cccd6b083e3,SELL,15,262.0,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,c35d120aab1c449fb9681aa5a8731273,BUY,15,371.65,INTRADAY,MARKET,-1644.75,-1512.0,-41.85,-3.02,48488.0,-5.02
40,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-15 09:15:00+05:30,86e1781cf6f5412abd3c825b4510fc1d,BUY,15,72.7,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,acd8eaad355f4df8bdb8404270ab1dcf,SELL,15,4.0,INTRADAY,MARKET,-1030.5,-2542.5,-94.5,-5.08,47457.5,-7.04
41,NSE_FO:BANKNIFTY15JUN2344300CE [LOCAL],2023-06-15 09:15:00+05:30,dce257e93fba4af38cdbc7a43deb21a3,SELL,15,43.0,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,c3e96d14acd1455c9e624713be1d4f52,BUY,15,3.9,INTRADAY,MARKET,586.5,-1956.0,90.93,-3.91,48044.0,-5.89
42,NSE_FO:BANKNIFTY15JUN2344300PE [LOCAL],2023-06-15 09:15:00+05:30,8754e81fa25847b3adb4a0c50ec9e1ff,BUY,15,330.0,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,d8379c1bdd644dc8af91f3470e2ffe20,SELL,15,790.9,INTRADAY,MARKET,6913.5,4957.5,139.67,9.92,54957.5,0.0
43,NSE_FO:BANKNIFTY15JUN2344300PE [LOCAL],2023-06-15 09:15:00+05:30,024e73a9b6a649008f8442a09c0c48d8,SELL,15,330.0,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,aaacc69a8f344fad9fa6b6ea75981e5e,BUY,15,790.9,INTRADAY,MARKET,-6913.5,-1956.0,-139.67,-3.91,48044.0,-12.58
44,NSE_FO:BANKNIFTY22JUN2343700CE [LOCAL],2023-06-16 09:15:00+05:30,a25dfd4127c94fe9b5c9aef71f90c85b,BUY,15,232.75,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,b10158a174bc4f499b559901a5e0e459,SELL,15,310.05,INTRADAY,MARKET,1159.5,-796.5,33.21,-1.59,49203.5,-10.47
45,NSE_FO:BANKNIFTY22JUN2343800CE [LOCAL],2023-06-16 09:15:00+05:30,eafa690cbf9b4b2daf200b9ad0b7ceec,SELL,15,210.0,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,2719f83c3fd5409abfb36d65537f9a48,BUY,15,252.0,INTRADAY,MARKET,-630.0,-1426.5,-20.0,-2.85,48573.5,-11.62
46,NSE_FO:BANKNIFTY22JUN2343800PE [LOCAL],2023-06-16 09:15:00+05:30,77fda910c9ae4e6db93d2492092c5fc3,BUY,15,401.9,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,0d719a040c5d4543bd17a39790c61e7b,SELL,15,219.45,INTRADAY,MARKET,-2736.75,-4163.25,-45.4,-8.33,45836.75,-16.6
47,NSE_FO:BANKNIFTY22JUN2343800PE [LOCAL],2023-06-16 09:15:00+05:30,8e690f6b713e4bc484e82ebeb8663b90,SELL,15,401.9,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,33b5db2eb6de44efbb8f465e1c13eccc,BUY,15,219.45,INTRADAY,MARKET,2736.75,-1426.5,45.4,-2.85,48573.5,-11.62
48,NSE_FO:BANKNIFTY22JUN2344100CE [LOCAL],2023-06-19 09:15:00+05:30,8d314bf075bf41158de5695c26fe1bb3,BUY,15,159.0,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,472498f90e4b4cbd863d4abde78dbd34,SELL,15,159.0,INTRADAY,MARKET,0.0,-1426.5,0.0,-2.85,48573.5,-11.62
49,NSE_FO:BANKNIFTY22JUN2344200CE [LOCAL],2023-06-19 09:15:00+05:30,fbdbc06698a8406daef61978b46c61cd,SELL,15,117.35,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,7022d9f2dee64545a3f7a4158a645be5,BUY,15,117.35,INTRADAY,MARKET,-0.0,-1426.5,-0.0,-2.85,48573.5,-11.62
50,NSE_FO:BANKNIFTY22JUN2344200PE [LOCAL],2023-06-19 09:15:00+05:30,bd824990f4d84c0f8d784002f4975016,BUY,15,342.0,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,578903a3038146b0b89c2e062533f325,SELL,15,342.0,INTRADAY,MARKET,0.0,-1426.5,0.0,-2.85,48573.5,-11.62
51,NSE_FO:BANKNIFTY22JUN2344200PE [LOCAL],2023-06-19 09:15:00+05:30,66abec9291ae4b0488df893ce3f7b3b8,SELL,15,342.0,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,6239c297bb3648d1bb23248ff41430bc,BUY,15,342.0,INTRADAY,MARKET,-0.0,-1426.5,-0.0,-2.85,48573.5,-11.62
52,NSE_FO:BANKNIFTY22JUN2343700CE [LOCAL],2023-06-20 09:15:00+05:30,836dfadd30ee4a7e8a3d7f9d6060521b,BUY,15,209.0,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,458f4b8bd1c045bcb07e973227c4d9fc,SELL,15,119.75,INTRADAY,MARKET,-1338.75,-2765.25,-42.7,-5.53,47234.75,-14.05
53,NSE_FO:BANKNIFTY22JUN2343800CE [LOCAL],2023-06-20 09:15:00+05:30,222d35c176044876b79029d76a587183,SELL,15,137.9,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,7c5eec1a96394496b55a703864ceb648,BUY,15,86.3,INTRADAY,MARKET,774.0,-1991.25,37.42,-3.98,48008.75,-12.64
54,NSE_FO:BANKNIFTY22JUN2343800PE [LOCAL],2023-06-20 09:15:00+05:30,6be5dc970f094509833a88e3fb906a04,BUY,15,269.9,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,a5c558a2a9b04698a8e72f444b44fd59,SELL,15,296.25,INTRADAY,MARKET,395.25,-1596.0,9.76,-3.19,48404.0,-11.92
55,NSE_FO:BANKNIFTY22JUN2343800PE [LOCAL],2023-06-20 09:15:00+05:30,1aa7c7b256484fb5ba6f27c6f1276bdf,SELL,15,269.9,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,e27911974cc44f5ebd20270dc3490cfe,BUY,15,296.25,INTRADAY,MARKET,-395.25,-1991.25,-9.76,-3.98,48008.75,-12.64
56,NSE_FO:BANKNIFTY22JUN2344000CE [LOCAL],2023-06-21 09:15:00+05:30,884e53c47a4a438488ebee4c4085ba8d,BUY,15,90.1,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,1d9bbc9175e7465b998966817d94d09b,SELL,15,90.4,INTRADAY,MARKET,4.5,-1986.75,0.33,-3.97,48013.25,-12.64
57,NSE_FO:BANKNIFTY22JUN2344100CE [LOCAL],2023-06-21 09:15:00+05:30,fad86862ee0242b3bd78b63fc8608048,SELL,15,61.6,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,0662c273bb5a4eebbb387d200f8a8d8e,BUY,15,57.0,INTRADAY,MARKET,69.0,-1917.75,7.47,-3.84,48082.25,-12.51
58,NSE_FO:BANKNIFTY22JUN2344100PE [LOCAL],2023-06-21 09:15:00+05:30,72eaeb65ec974d74b1c9fc546b708919,BUY,15,270.0,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,28c94d82fd0e4a01bae33f836b02355b,SELL,15,254.8,INTRADAY,MARKET,-228.0,-2145.75,-5.63,-4.29,47854.25,-12.92
59,NSE_FO:BANKNIFTY22JUN2344100PE [LOCAL],2023-06-21 09:15:00+05:30,f8f2308f67e8411caf12acd056cf36f2,SELL,15,270.0,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,f6bc97b16d6447e2a462c329914b9e3a,BUY,15,254.8,INTRADAY,MARKET,228.0,-1917.75,5.63,-3.84,48082.25,-12.51
60,NSE_FO:BANKNIFTY22JUN2344000CE [LOCAL],2023-06-22 09:15:00+05:30,37d06ba171474bf39ec6ac92aa832767,BUY,15,47.9,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,6e7e36a7d0a84dfeb504b08ebd0c6311,SELL,15,44.85,INTRADAY,MARKET,-45.75,-1963.5,-6.37,-3.93,48036.5,-12.59
61,NSE_FO:BANKNIFTY22JUN2344100CE [LOCAL],2023-06-22 09:15:00+05:30,8c33252816b9400883891a77dc8cbc81,SELL,15,40.0,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,5dd8f52ea7cf495da4662b70e535dd61,BUY,15,19.05,INTRADAY,MARKET,314.25,-1649.25,52.38,-3.3,48350.75,-12.02
62,NSE_FO:BANKNIFTY22JUN2344100PE [LOCAL],2023-06-22 09:15:00+05:30,3828fdb137cc485e9c562499adbf0abc,BUY,15,275.05,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,4c7a9ef3eca44f7abb2077a2eafa8490,SELL,15,174.3,INTRADAY,MARKET,-1511.25,-3160.5,-36.63,-6.32,46839.5,-14.77
63,NSE_FO:BANKNIFTY22JUN2344100PE [LOCAL],2023-06-22 09:15:00+05:30,4ef156c017744211bd58de80067ee408,SELL,15,275.05,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,3053037c87414239acbfeb2783ca0a91,BUY,15,174.3,INTRADAY,MARKET,1511.25,-1649.25,36.63,-3.3,48350.75,-12.02
64,NSE_FO:BANKNIFTY29JUN2343700CE [LOCAL],2023-06-23 09:15:00+05:30,d2d82fc6e43e426dac34a34037d9654b,BUY,15,294.0,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,43e3c7d59fe8414da541a1b0fd2213bb,SELL,15,232.25,INTRADAY,MARKET,-926.25,-2575.5,-21.0,-5.15,47424.5,-13.71
65,NSE_FO:BANKNIFTY29JUN2343800CE [LOCAL],2023-06-23 09:15:00+05:30,91c7b855eece4a50bcaec9282811caa9,SELL,15,214.9,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,9d6b8816b9ae4a36b5da37601e479ed1,BUY,15,186.4,INTRADAY,MARKET,427.5,-2148.0,13.26,-4.3,47852.0,-12.93
66,NSE_FO:BANKNIFTY29JUN2343800PE [LOCAL],2023-06-23 09:15:00+05:30,c0ea70a76b7142e1915c90e5545ae795,BUY,15,308.0,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,72243710e1e14404b782122a25eb665c,SELL,15,301.75,INTRADAY,MARKET,-93.75,-2241.75,-2.03,-4.48,47758.25,-13.1
67,NSE_FO:BANKNIFTY29JUN2343800PE [LOCAL],2023-06-23 09:15:00+05:30,b8c2424bd240471b9f233455ce57d0bd,SELL,15,308.0,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,1c18e65cb40241ceb7986baba3f6772d,BUY,15,301.75,INTRADAY,MARKET,93.75,-2148.0,2.03,-4.3,47852.0,-12.93
68,NSE_FO:BANKNIFTY29JUN2343800CE [LOCAL],2023-06-26 09:15:00+05:30,f4dbb330dc824a25ade3047e17831efa,BUY,15,172.2,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,b63a0ff5ad9d477bb9978a8a82eaaec1,SELL,15,120.8,INTRADAY,MARKET,-771.0,-2919.0,-29.85,-5.84,47081.0,-14.33
69,NSE_FO:BANKNIFTY29JUN2343900CE [LOCAL],2023-06-26 09:15:00+05:30,d281a29df1a1484bad9131f6e5571325,SELL,15,110.0,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,afb21a9411fb48bba41c75892df85394,BUY,15,87.1,INTRADAY,MARKET,343.5,-2575.5,20.82,-5.15,47424.5,-13.71
70,NSE_FO:BANKNIFTY29JUN2343900PE [LOCAL],2023-06-26 09:15:00+05:30,cacd6adb5c08431e967e3d67711905f3,BUY,15,328.0,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,bf5eb436397043adac150b2c4dd6cb43,SELL,15,356.3,INTRADAY,MARKET,424.5,-2151.0,8.63,-4.3,47849.0,-12.93
71,NSE_FO:BANKNIFTY29JUN2343900PE [LOCAL],2023-06-26 09:15:00+05:30,21916c177f984b23afe2a01cd5b31a9d,SELL,15,328.0,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,2db00b5802dd4908b6799bc3b1c86c54,BUY,15,356.3,INTRADAY,MARKET,-424.5,-2575.5,-8.63,-5.15,47424.5,-13.71
72,NSE_FO:BANKNIFTY29JUN2343900CE [LOCAL],2023-06-27 09:15:00+05:30,150b42a5e39a44ffae8986268c1658dd,BUY,15,142.35,INTRADAY,MARKET,2023-06-27 15:10:00+05:30,130eea932bf84bcdaa02fba81a8ae65c,SELL,15,130.3,INTRADAY,MARKET,-180.75,-2756.25,-8.47,-5.51,47243.75,-14.04
73,NSE_FO:BANKNIFTY29JUN2344000CE [LOCAL],2023-06-27 09:15:00+05:30,ebcacf3f6df447bd86b23efbb13fdfa2,SELL,15,100.4,INTRADAY,MARKET,2023-06-27 15:10:00+05:30,441098c5b91a4284bafb68c42c835741,BUY,15,85.0,INTRADAY,MARKET,231.0,-2525.25,15.34,-5.05,47474.75,-13.62
74,NSE_FO:BANKNIFTY29JUN2344000PE [LOCAL],2023-06-27 09:15:00+05:30,972bb11d23c9413fba147902dc8adc83,BUY,15,268.15,INTRADAY,MARKET,2023-06-27 15:10:00+05:30,f6238568fc974fce838f4cb2eb7ad857,SELL,15,195.25,INTRADAY,MARKET,-1093.5,-3618.75,-27.19,-7.24,46381.25,-15.61
