,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY01JUN2318600PE [LOCAL],2023-06-01 09:30:00+05:30,d6426e29c5d34a1ab84abda7da404dc5,BUY,50,68.8,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,bd229d67ae26493c9dbd4c95146ef9c9,SELL,50,76.7,INTRADAY,MARKET,395.0,395.0,11.48,0.79,50395.0,0.0
1,NSE_FO:NIFTY01JUN2318700PE [LOCAL],2023-06-01 09:30:00+05:30,4869d3742afb4f8aa0b43c354d99054d,BUY,50,161.75,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,85e8dc83fb09442c8fddea2ca539b8c9,SELL,50,174.3,INTRADAY,MARKET,627.5,1022.5,7.76,2.04,51022.5,0.0
2,NSE_FO:NIFTY01JUN2318800PE [LOCAL],2023-06-01 09:30:00+05:30,b2961b0f817a4fb0929bf8cb9a2f0e11,SELL,50,283.0,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,365bc70447a14b77bbb8510470e160ed,BUY,50,274.15,INTRADAY,MARKET,442.5,1465.0,3.13,2.93,51465.0,0.0
3,NSE_FO:NIFTY08JUN2318550PE [LOCAL],2023-06-02 09:15:00+05:30,814c186ed12f4958b542db9f29157181,BUY,50,85.4,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,1b4cfb323c0f401aa46e87bfc2059ac2,SELL,50,75.8,INTRADAY,MARKET,-480.0,985.0,-11.24,1.97,50985.0,-0.93
4,NSE_FO:NIFTY08JUN2318650PE [LOCAL],2023-06-02 09:15:00+05:30,bc456892397f4aca817b132ea37e6d47,BUY,50,169.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,fd649af9207247488901676f71524b41,SELL,50,127.5,INTRADAY,MARKET,-2092.5,-1107.5,-24.71,-2.21,48892.5,-5.0
5,NSE_FO:NIFTY08JUN2318750PE [LOCAL],2023-06-02 09:15:00+05:30,cad2b04970a74ed0a026f858b9c74988,SELL,50,207.85,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,a68db11c1dad4df68bc6d3875a063312,BUY,50,196.75,INTRADAY,MARKET,555.0,-552.5,5.34,-1.1,49447.5,-3.92
6,NSE_FO:NIFTY08JUN2318600PE [LOCAL],2023-06-05 09:15:00+05:30,b38efff89b8442d6a63d23133bf1000f,BUY,50,55.1,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,35c30ac96dbf48958da4a2c5bb29b2ee,SELL,50,49.4,INTRADAY,MARKET,-285.0,-837.5,-10.34,-1.68,49162.5,-4.47
7,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-05 09:15:00+05:30,ff8fa0f733d44e4ab6e1377cb11ddb83,BUY,50,123.0,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,860b2e7620694a7b854a51f3e082ff4c,SELL,50,97.7,INTRADAY,MARKET,-1265.0,-2102.5,-20.57,-4.21,47897.5,-6.93
8,NSE_FO:NIFTY08JUN2318800PE [LOCAL],2023-06-05 09:15:00+05:30,330bf653852c4b95b57e1ca504aee272,SELL,50,183.2,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,d49f43b560a54ed099d631e1bc49aa9d,BUY,50,170.3,INTRADAY,MARKET,645.0,-1457.5,7.04,-2.92,48542.5,-5.68
9,NSE_FO:NIFTY08JUN2318600PE [LOCAL],2023-06-06 09:15:00+05:30,cf550d7e206c48f983c3ff578d7a798c,BUY,50,43.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,b0ac9522d9eb41c3abe712add10d3001,SELL,50,77.1,INTRADAY,MARKET,1682.5,225.0,77.45,0.45,50225.0,-2.41
10,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-06 09:15:00+05:30,e6cab4d4f1704763867f389479af94e1,BUY,50,118.95,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,bb087825171849d09524929b6c5840a4,SELL,50,149.15,INTRADAY,MARKET,1510.0,1735.0,25.39,3.47,51735.0,0.0
11,NSE_FO:NIFTY08JUN2318800PE [LOCAL],2023-06-06 09:15:00+05:30,2033a64e4b9d41d78160862ef648bbf1,SELL,50,192.05,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,540cb8cae50c4cf08ff619e9642448e0,BUY,50,240.1,INTRADAY,MARKET,-2402.5,-667.5,-25.02,-1.33,49332.5,-4.64
12,NSE_FO:NIFTY08JUN2318650PE [LOCAL],2023-06-07 09:15:00+05:30,440182c22c634f60be3d5069a5a1b0f1,BUY,50,45.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,7227366834a64d88960f3bda4dc02293,SELL,50,25.7,INTRADAY,MARKET,-965.0,-1632.5,-42.89,-3.26,48367.5,-6.51
13,NSE_FO:NIFTY08JUN2318750PE [LOCAL],2023-06-07 09:15:00+05:30,185fe8abd76243ddbf11538b81a570f9,BUY,50,65.85,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,825d0397ae974a22ae6838ddaf02e68e,SELL,50,74.0,INTRADAY,MARKET,407.5,-1225.0,12.38,-2.45,48775.0,-5.72
14,NSE_FO:NIFTY08JUN2318850PE [LOCAL],2023-06-07 09:15:00+05:30,6921bd8a463644aaaf38e624916af6cb,SELL,50,198.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,9828013d5fc040e78a6e06de623208ca,BUY,50,157.0,INTRADAY,MARKET,2050.0,825.0,20.71,1.65,50825.0,-1.76
15,NSE_FO:NIFTY08JUN2318750PE [LOCAL],2023-06-08 09:15:00+05:30,c12d8f44369a4beebd1b53c4520ba69a,BUY,50,32.2,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,53ec55d4237442c3a83a2799fe8daeb4,SELL,50,65.9,INTRADAY,MARKET,1685.0,2510.0,104.66,5.02,52510.0,0.0
16,NSE_FO:NIFTY08JUN2318850PE [LOCAL],2023-06-08 09:15:00+05:30,e1aab7493d3b47438a3683613c5374fb,BUY,50,115.45,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,044b1d0b46dc495ab9031e1d47c376bb,SELL,50,163.35,INTRADAY,MARKET,2395.0,4905.0,41.49,9.81,54905.0,0.0
